  Language_ISO639;fr
  Author_Email;Info@MediaArea.net
  Author_Name;Zen
  Author_OldNames;Traducteur initial
  Language_Name;Fran̤ais
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; flux audio
 audio stream2; flux audio
 audio stream3; flux audio
 bit1; bit
 bit2; bits
 bit3; bits
 bps; bps
 Bps; Bps
 Byte1; Octet
 Byte2; Octets
 Byte3; Octets
 channel1; canal
 channel2; canaux
 channel3; canaux
 chapter1; chapitre
 chapter2; chapitres
 chapter3; chapitres
 chapters stream1; flux chapitres
 chapters stream2; flux chapitres
 chapters stream3; flux chapitres
 character1;
 character2;
 character3;
 day1; jour
 day2; jours
 day3; jours
 dB1; dB
 dB2; dB
 dB3; dB
 file1; fichier
 file2; fichiers
 file3; fichiers
 fps1; Im/s
 fps2; Im/s
 fps3; Im/s
 frame1; image
 frame2; images
 frame3; images
 GB; Go
 Gb; Gb
 Gbps; Gbps
 GBps; Go/s
 GHz; GHz
 GiB; Gio
 GibiByte1; GibiOctets
 GibiByte2; GibiOctets
 GibiByte3; GibiOctets
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBits
 GigaBit3; GigaBits
 GigaByte1; GigaOctet
 GigaByte2; GigaOctets
 GigaByte3; GigaOctets
 hour1; heure
 hour2; heures
 hour3; heures
 Hz; Hz
 image stream1; flux image
 image stream2; flux images
 image stream3; flux images
 KB; Ko
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; Kio
 KibiBit1; KibiBit
 KibiBit2; KibiBits
 KibiBit3; KibiBits
 KibiByte1; KibiOctet
 KibiByte2; KibiOctets
 KibiByte3; KibiOctets
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBits
 KiloBit3; KiloBits
 KiloByte1; KiloOctet
 KiloByte2; KiloOctets
 KiloByte3; KiloOctets
 MB; MB
 Mb; Mb
 Mbps; Mb/s
 MBps; Mbps
 MebiBit1; MebiBit
 MebiBit2; MebiBits
 MebiBit3; MebiBits
 MebiByte1; MebiOctet
 MebiByte2; MebiOctets
 MebiByte3; MebiOctets
 MegaBit1; MegaBit
